row_id;game_id;player_id;seat_position;is_start_player;objective_MostInvestors;objective_MostEngineers;objective_NewWorldExplorer;objective_BasicGoodsProducer;objective_ExplorerTrader;objective_LuxuryFactories;objective_SingleIslandBonus;objective_MostExpeditionCards;objective_ExtraAction;objective_ArtifactBonus;objective_NewWorldProductFactories;objective_AnimalBonus;objective_ArtisanGoodsFactories;objective_MostTradeChips;objective_PrestigeFactories;objective_ResidentCardsPenalty;objective_EngineerGoodsFactories;objective_DiscardResidentCard;objective_InvestorExhaustForGold;objective_MostResidentsTotal;start_cards_l2_count;start_cards_l5_count;start_cards_l7_count;start_reward_new_residents_count;start_reward_upgrade_count;start_reward_tradepoints_count;start_reward_gold_count;start_reward_extraaction_count;start_reward_expedition_count;start_reward_discard_count;start_reward_explorationpoints_count;start_reward_freegoodschoice_count;start_reward_gold_and_tradepoints_count;strategy_name;rounds_played;game_end_status;fulfill_needs_count;final_points;rank;is_winner
1;1;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;7;2;0;4;1;2;1;1;0;0;0;0;0;adaptiveResidentStrategy;300;aborted_300_rounds;0;-8;1;1
2;1;1;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;7;2;0;2;2;2;1;0;1;0;0;1;0;balanced;300;aborted_300_rounds;0;-8;1;1
3;1;2;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;7;2;0;5;2;1;1;0;0;0;0;0;0;explorationFocus;300;aborted_300_rounds;0;-16;2;0
4;2;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;7;2;0;3;1;1;2;0;2;0;0;0;0;adaptiveResidentStrategy;300;aborted_300_rounds;0;-8;1;1
5;2;1;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;7;2;0;5;1;1;1;1;0;0;0;0;0;eliteResidentProduction;300;aborted_300_rounds;0;-8;1;1
6;2;2;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;7;2;0;4;2;2;0;1;0;0;0;0;0;adaptiveResidentStrategy;300;aborted_300_rounds;0;-8;1;1
7;3;0;3;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;7;2;0;5;0;2;0;0;0;0;2;0;0;factoryVariety;300;aborted_300_rounds;0;22;2;0
8;3;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;7;2;0;3;1;2;1;2;0;0;0;0;0;balanced;300;aborted_300_rounds;0;22;2;0
9;3;2;2;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;7;2;0;3;3;1;0;2;0;0;0;0;0;factoryVariety;300;aborted_300_rounds;0;28;1;1
10;4;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;7;2;0;2;2;2;1;0;2;0;0;0;0;adaptiveResidentStrategy;300;aborted_300_rounds;0;-4;1;1
11;4;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;7;2;0;5;2;0;1;0;0;0;0;1;0;factoryVariety;300;aborted_300_rounds;0;-6;2;0
12;4;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;7;2;0;4;2;1;0;1;0;1;0;0;0;balanced;300;aborted_300_rounds;0;-4;1;1
13;5;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;7;2;0;4;2;0;1;1;1;0;0;0;0;explorationFocus;300;aborted_300_rounds;0;-24;1;1
14;5;1;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;7;2;0;5;1;0;1;1;0;0;1;0;0;explorationFocus;300;aborted_300_rounds;0;-32;2;0
15;5;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;7;2;0;3;2;2;0;1;0;0;1;0;0;shipBuilding;300;aborted_300_rounds;0;-24;1;1
16;6;0;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;7;2;0;5;1;1;0;1;0;0;0;1;0;balanced;300;aborted_300_rounds;0;-8;1;1
17;6;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;7;2;0;4;2;2;0;0;1;0;0;0;0;factoryVariety;300;aborted_300_rounds;0;-16;2;0
18;6;2;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;7;2;0;1;2;1;3;0;1;1;0;0;0;explorationFocus;300;aborted_300_rounds;0;-8;1;1
19;7;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;7;2;0;3;2;1;2;1;0;0;0;0;0;factoryVariety;300;aborted_300_rounds;0;20;1;1
