row_id;game_id;player_id;seat_position;is_start_player;objective_MostInvestors;objective_MostEngineers;objective_NewWorldExplorer;objective_BasicGoodsProducer;objective_ExplorerTrader;objective_LuxuryFactories;objective_SingleIslandBonus;objective_MostExpeditionCards;objective_ExtraAction;objective_ArtifactBonus;objective_NewWorldProductFactories;objective_AnimalBonus;objective_ArtisanGoodsFactories;objective_MostTradeChips;objective_PrestigeFactories;objective_ResidentCardsPenalty;objective_EngineerGoodsFactories;objective_DiscardResidentCard;objective_InvestorExhaustForGold;objective_MostResidentsTotal;start_cards_l2_count;start_cards_l5_count;start_cards_l7_count;start_reward_new_residents_count;start_reward_upgrade_count;start_reward_tradepoints_count;start_reward_gold_count;start_reward_extraaction_count;start_reward_expedition_count;start_reward_discard_count;start_reward_explorationpoints_count;start_reward_freegoodschoice_count;start_reward_gold_and_tradepoints_count;strategy_name;rounds_played;game_end_status;fulfill_needs_count;final_points;rank;is_winner
1;1;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;7;2;0;4;1;2;1;1;0;0;0;0;0;adaptiveResidentStrategy;125;;31;145;1;1
2;1;1;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;7;2;0;2;2;2;1;0;1;0;0;1;0;balanced;125;;55;145;1;1
3;1;2;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;7;2;0;5;2;1;1;0;0;0;0;0;0;explorationFocus;125;;28;82;3;0
4;2;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;7;2;0;3;1;1;2;0;2;0;0;0;0;adaptiveResidentStrategy;90;;136;149;2;0
5;2;1;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;7;2;0;5;1;1;1;1;0;0;0;0;0;eliteResidentProduction;90;;141;160;1;1
6;2;2;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;7;2;0;4;2;2;0;1;0;0;0;0;0;adaptiveResidentStrategy;90;;154;93;3;0
7;3;0;3;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;7;2;0;5;0;2;0;0;0;0;2;0;0;factoryVariety;103;;37;148;1;1
8;3;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;7;2;0;3;1;2;1;2;0;0;0;0;0;balanced;103;;76;91;3;0
9;3;2;2;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;7;2;0;3;3;1;0;2;0;0;0;0;0;factoryVariety;103;;80;113;2;0
10;4;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;7;2;0;2;2;2;1;0;2;0;0;0;0;adaptiveResidentStrategy;105;;29;112;2;0
11;4;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;7;2;0;5;2;0;1;0;0;0;0;1;0;factoryVariety;105;;112;160;1;1
12;4;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;7;2;0;4;2;1;0;1;0;1;0;0;0;balanced;105;;153;106;3;0
13;5;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;7;2;0;4;2;0;1;1;1;0;0;0;0;explorationFocus;173;;38;103;3;0
14;5;1;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;7;2;0;5;1;0;1;1;0;0;1;0;0;explorationFocus;173;;74;118;2;0
15;5;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;7;2;0;3;2;2;0;1;0;0;1;0;0;shipBuilding;173;;155;145;1;1
16;6;0;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;7;2;0;5;1;1;0;1;0;0;0;1;0;balanced;205;;89;135;1;1
17;6;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;7;2;0;4;2;2;0;0;1;0;0;0;0;factoryVariety;205;;88;83;3;0
18;6;2;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;7;2;0;1;2;1;3;0;1;1;0;0;0;explorationFocus;205;;44;116;2;0
19;7;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;7;2;0;3;2;1;2;1;0;0;0;0;0;factoryVariety;135;;88;107;2;0
20;7;1;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;7;2;0;2;4;0;1;0;2;0;0;0;0;balanced;135;;72;94;3;0
21;7;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;7;2;0;3;1;3;1;0;0;0;1;0;0;factoryVariety;135;;89;125;1;1
22;8;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;7;2;0;5;0;2;1;0;1;0;0;0;0;eliteResidentProduction;73;;29;148;2;0
23;8;1;2;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;7;2;0;4;3;2;0;0;0;0;0;0;0;adaptiveResidentStrategy;73;;136;152;1;1
24;8;2;3;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;7;2;0;4;0;2;1;0;0;2;0;0;0;eliteResidentProduction;73;;90;136;3;0
25;9;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;7;2;0;5;2;2;0;0;0;0;0;0;0;adaptiveResidentStrategy;85;;65;107;3;0
26;9;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;7;2;0;4;2;0;2;0;0;1;0;0;0;balanced;85;;77;141;2;0
27;9;2;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;7;2;0;2;2;3;1;0;1;0;0;0;0;factoryVariety;85;;114;156;1;1
28;10;0;2;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;7;2;0;2;2;3;0;0;1;0;0;1;0;factoryVariety;64;;135;145;2;0
29;10;1;3;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;7;2;0;2;2;3;1;0;0;0;0;1;0;shipBuilding;64;;131;104;3;0
30;10;2;1;1;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;7;2;0;6;1;1;0;1;0;0;0;0;0;shipBuilding;64;;68;162;1;1
31;11;0;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;7;2;0;2;2;3;0;2;0;0;0;0;0;eliteResidentProduction;145;;81;115;3;0
32;11;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;7;2;0;4;1;1;1;0;0;1;0;1;0;eliteResidentProduction;145;;128;137;1;1
33;11;2;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;7;2;0;1;2;1;4;0;0;0;1;0;0;explorationFocus;145;;95;118;2;0
34;12;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;7;2;0;2;3;2;1;1;0;0;0;0;0;explorationFocus;210;;59;144;2;0
35;12;1;2;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;7;2;0;4;1;0;2;1;0;1;0;0;0;eliteResidentProduction;210;;151;115;3;0
36;12;2;3;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;7;2;0;5;1;2;0;0;0;1;0;0;0;adaptiveResidentStrategy;210;;86;154;1;1
37;13;0;3;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;7;2;0;3;1;2;1;1;0;1;0;0;0;explorationFocus;77;;68;145;1;1
38;13;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;7;2;0;5;1;1;0;1;0;1;0;0;0;factoryVariety;77;;131;112;3;0
39;13;2;2;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;7;2;0;2;3;1;1;0;1;0;0;1;0;explorationFocus;77;;70;130;2;0
40;14;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;7;2;0;3;0;3;2;0;0;0;0;1;0;adaptiveResidentStrategy;113;;90;138;2;0
41;14;1;3;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;7;2;0;5;0;0;2;2;0;0;0;0;0;eliteResidentProduction;113;;127;117;3;0
42;14;2;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;7;2;0;3;3;0;1;1;0;1;0;0;0;factoryVariety;113;;149;147;1;1
43;15;0;2;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;7;2;0;4;3;1;1;0;0;0;0;0;0;eliteResidentProduction;222;;117;132;1;1
44;15;1;3;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;7;2;0;3;3;3;0;0;0;0;0;0;0;explorationFocus;222;;45;82;3;0
45;15;2;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;7;2;0;5;1;1;0;1;0;1;0;0;0;balanced;222;;144;110;2;0
46;16;0;2;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;7;2;0;2;3;2;0;1;0;1;0;0;0;balanced;164;;92;117;2;0
47;16;1;3;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;7;2;0;2;1;3;1;0;1;0;1;0;0;shipBuilding;164;;110;88;3;0
48;16;2;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;7;2;0;6;1;0;1;0;0;1;0;0;0;explorationFocus;164;;125;131;1;1
49;17;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;7;2;0;3;1;2;2;0;0;1;0;0;0;eliteResidentProduction;173;;71;160;1;1
50;17;1;2;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;7;2;0;4;1;2;0;0;2;0;0;0;0;explorationFocus;173;;110;88;3;0
51;17;2;3;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;7;2;0;3;3;1;1;0;0;0;1;0;0;explorationFocus;173;;46;115;2;0
52;18;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;7;2;0;4;2;0;1;0;0;2;0;0;0;shipBuilding;55;;75;106;2;0
53;18;1;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;7;2;0;4;0;2;1;2;0;0;0;0;0;explorationFocus;55;;29;82;3;0
