game_id,objective_MostInvestors,objective_MostEngineers,objective_NewWorldExplorer,objective_BasicGoodsProducer,objective_ExplorerTrader,objective_LuxuryFactories,objective_SingleIslandBonus,objective_MostExpeditionCards,objective_ExtraAction,objective_ArtifactBonus,objective_NewWorldProductFactories,objective_AnimalBonus,objective_ArtisanGoodsFactories,objective_MostTradeChips,objective_PrestigeFactories,objective_ResidentCardsPenalty,objective_EngineerGoodsFactories,objective_DiscardResidentCard,objective_InvestorExhaustForGold,objective_MostResidentsTotal,rounds_played,game_end_status,winner_player,player_id_p1,seat_position_p1,is_start_player_p1,start_cards_l2_count_p1,start_cards_l5_count_p1,start_cards_l7_count_p1,start_reward_upgrade_count_p1,start_reward_tradepoints_count_p1,start_reward_gold_count_p1,start_reward_extraaction_count_p1,start_reward_expedition_count_p1,start_reward_discard_count_p1,start_reward_explorationpoints_count_p1,start_reward_freegoodschoice_count_p1,start_reward_gold_and_tradepoints_count_p1,strategy_name_p1,fulfill_needs_count_p1,final_points_p1,rank_p1,is_winner_p1,player_id_p2,seat_position_p2,is_start_player_p2,start_cards_l2_count_p2,start_cards_l5_count_p2,start_cards_l7_count_p2,start_reward_upgrade_count_p2,start_reward_tradepoints_count_p2,start_reward_gold_count_p2,start_reward_extraaction_count_p2,start_reward_expedition_count_p2,start_reward_discard_count_p2,start_reward_explorationpoints_count_p2,start_reward_freegoodschoice_count_p2,start_reward_gold_and_tradepoints_count_p2,strategy_name_p2,fulfill_needs_count_p2,final_points_p2,rank_p2,is_winner_p2,player_id_p3,seat_position_p3,is_start_player_p3,start_cards_l2_count_p3,start_cards_l5_count_p3,start_cards_l7_count_p3,start_reward_upgrade_count_p3,start_reward_tradepoints_count_p3,start_reward_gold_count_p3,start_reward_extraaction_count_p3,start_reward_expedition_count_p3,start_reward_discard_count_p3,start_reward_explorationpoints_count_p3,start_reward_freegoodschoice_count_p3,start_reward_gold_and_tradepoints_count_p3,strategy_name_p3,fulfill_needs_count_p3,final_points_p3,rank_p3,is_winner_p3
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,125,,1,2,1,1,7,2,0,2,1,1,0,0,0,0,0,0,explorationFocus,28,82,3,0,0,2,0,7,2,0,1,2,1,1,0,0,0,0,0,adaptiveResidentStrategy,31,145,1,1,1,3,0,7,2,0,2,2,1,0,1,0,0,1,0,balanced,55,145,1,1
2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,90,,2,0,1,1,7,2,0,1,1,2,0,2,0,0,0,0,adaptiveResidentStrategy,136,149,2,0,1,2,0,7,2,0,1,1,1,1,0,0,0,0,0,eliteResidentProduction,141,160,1,1,2,3,0,7,2,0,2,2,0,1,0,0,0,0,0,adaptiveResidentStrategy,154,93,3,0
3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,103,,1,1,1,1,7,2,0,1,2,1,2,0,0,0,0,0,balanced,76,91,3,0,2,2,0,7,2,0,3,1,0,2,0,0,0,0,0,factoryVariety,80,113,2,0,0,3,0,7,2,0,0,2,0,0,0,0,2,0,0,factoryVariety,37,148,1,1
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,105,,2,1,1,1,7,2,0,2,0,1,0,0,0,0,1,0,factoryVariety,112,160,1,1,2,2,0,7,2,0,2,1,0,1,0,1,0,0,0,balanced,153,106,3,0,0,3,0,7,2,0,2,2,1,0,2,0,0,0,0,adaptiveResidentStrategy,29,112,2,0
5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,173,,3,2,1,1,7,2,0,2,2,0,1,0,0,1,0,0,shipBuilding,155,145,1,1,0,2,0,7,2,0,2,0,1,1,1,0,0,0,0,explorationFocus,38,103,3,0,1,3,0,7,2,0,1,0,1,1,0,0,1,0,0,explorationFocus,74,118,2,0
6,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,205,,1,1,1,1,7,2,0,2,2,0,0,1,0,0,0,0,factoryVariety,88,83,3,0,2,2,0,7,2,0,2,1,3,0,1,1,0,0,0,explorationFocus,44,116,2,0,0,3,0,7,2,0,1,1,0,1,0,0,0,1,0,balanced,89,135,1,1
7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,135,,3,2,1,1,7,2,0,1,3,1,0,0,0,1,0,0,factoryVariety,89,125,1,1,0,2,0,7,2,0,2,1,2,1,0,0,0,0,0,factoryVariety,88,107,2,0,1,3,0,7,2,0,4,0,1,0,2,0,0,0,0,balanced,72,94,3,0
8,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,73,,2,0,1,1,7,2,0,0,2,1,0,1,0,0,0,0,eliteResidentProduction,29,148,2,0,1,2,0,7,2,0,3,2,0,0,0,0,0,0,0,adaptiveResidentStrategy,136,152,1,1,2,3,0,7,2,0,0,2,1,0,0,2,0,0,0,eliteResidentProduction,90,136,3,0
9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,85,,3,0,1,1,7,2,0,2,2,0,0,0,0,0,0,0,adaptiveResidentStrategy,65,107,3,0,1,2,0,7,2,0,2,0,2,0,0,1,0,0,0,balanced,77,141,2,0,2,3,0,7,2,0,2,3,1,0,1,0,0,0,0,factoryVariety,114,156,1,1
10,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,64,,3,2,1,1,7,2,0,1,1,0,1,0,0,0,0,0,shipBuilding,68,162,1,1,0,2,0,7,2,0,2,3,0,0,1,0,0,1,0,factoryVariety,135,145,2,0,1,3,0,7,2,0,2,3,1,0,0,0,0,1,0,shipBuilding,131,104,3,0
